"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000188312",34.4987962978761,-1.61663999158205,0.31862064235906,-5.07387085661646,3.89803657665979e-07,1.29347543056545e-06,"CENPP","401541","centromere protein P"
"ENSG00000188452",115.627524842683,-0.854637914784002,0.168521750447838,-5.07138047470338,3.94940281910079e-07,1.31022419630963e-06,"CERKL","375298","CERK like autophagy regulator"
"ENSG00000197818",315.530436284978,0.560327147190057,0.110505264602443,5.07059233065417,3.96579458267592e-07,1.3153651483294e-06,"SLC9A8","23315","solute carrier family 9 member A8"
"ENSG00000072315",17.5333411674997,-2.58329034643749,0.509620789004905,-5.06904428188982,3.99818210424483e-07,1.32580801605771e-06,"TRPC5","7224","transient receptor potential cation channel subfamily C member 5"
"ENSG00000117298",9119.74599415106,0.205323767645169,0.040515210746908,5.06781931674486,4.02399096260425e-07,1.33406516002384e-06,"ECE1","1889","endothelin converting enzyme 1"
"ENSG00000257727",144.889462091031,0.77025170884631,0.152034437665398,5.06629761437014,4.05627573330966e-07,1.34446503886099e-06,"CNPY2","10330","canopy FGF signaling regulator 2"
"ENSG00000078237",674.49813509609,0.38470398631607,0.0759379296331397,5.06603206295715,4.06193528381702e-07,1.34603720548775e-06,"TIGAR","57103","TP53 induced glycolysis regulatory phosphatase"
"ENSG00000173517",2322.48107922087,0.355654570651802,0.070210033644007,5.06558040486225,4.0715787277142e-07,1.34876525042225e-06,"PEAK1","79834","pseudopodium enriched atypical kinase 1"
"ENSG00000101421",1721.67724592544,0.26742138753384,0.0527920625933156,5.06556051037301,4.07200400655048e-07,1.34876525042225e-06,"CHMP4B","128866","charged multivesicular body protein 4B"
"ENSG00000173599",393.890325555678,-0.480377927511554,0.0948406784518378,-5.06510429230533,4.0817682196658e-07,1.35169466066029e-06,"PC","5091","pyruvate carboxylase"
"ENSG00000149531",190.612435358315,0.669293103513045,0.13216654694174,5.06401293670837,4.10521771871587e-07,1.35915366887393e-06,NA,NA,NA
"ENSG00000185475",329.539265859661,0.545229651693508,0.107673823937054,5.06371587594261,4.11162301033041e-07,1.36096759850729e-06,"TMEM179B","374395","transmembrane protein 179B"
"ENSG00000072506",664.128108680809,-0.392666062216362,0.0775758885458731,-5.06170241265321,4.15529263566403e-07,1.37511261135176e-06,"HSD17B10","3028","hydroxysteroid 17-beta dehydrogenase 10"
"ENSG00000148362",117.836763030631,-0.855011425116096,0.168981885865573,-5.05978153064447,4.19737117643579e-07,1.38872483292436e-06,NA,NA,NA
"ENSG00000241878",770.713377756795,0.393001026369368,0.0776788836910559,5.05930321980951,4.20791273637471e-07,1.39189907897646e-06,"PISD","23761","phosphatidylserine decarboxylase"
"ENSG00000183770",20.5195109936707,2.47292695425007,0.488816358501213,5.05901022181918,4.21438277122209e-07,1.39372541443612e-06,"FOXL2","668","forkhead box L2"
"ENSG00000124198",1572.40646907417,0.281392934530357,0.0556333091565471,5.05799383133121,4.23690137031586e-07,1.40085710398244e-06,"ARFGEF2","10564","ARF guanine nucleotide exchange factor 2"
"ENSG00000135744",30.9585657428524,1.78568087409028,0.353075143966444,5.05750944127632,4.2476740571401e-07,1.40410287802403e-06,"AGT","183","angiotensinogen"
"ENSG00000011114",1033.61649787184,0.346251393214245,0.0684791313738542,5.05630527530969,4.27456896449837e-07,1.4126753225755e-06,"BTBD7","55727","BTB domain containing 7"
"ENSG00000169519",229.374188751484,-0.625576932025942,0.123765851089114,-5.05451969603081,4.31475231523516e-07,1.42563453690519e-06,"METTL15","196074","methyltransferase 15, mitochondrial 12S rRNA N4-cytidine"
"ENSG00000113441",663.18484599031,0.391136997549784,0.0773928293922916,5.05391779343244,4.32837970152212e-07,1.42981555690038e-06,"LNPEP","4012","leucyl and cystinyl aminopeptidase"
